lid,spectrum,sample,exact,z,hb_class_0.1.0,hb_class_0.2.0,hb_c50_sys_0.1.0,hb_c50_sys_0.2.0,hb_delta_c50,hb_bic_margin_0.2.0,hb_n_broad_0.2.0,hb_fit_status_0.2.0,ha_class_0.1.0,ha_class_0.2.0,ha_c50_sys_0.1.0,ha_c50_sys_0.2.0,ha_delta_c50,ha_bic_margin_0.2.0,conti_feop_fwhm_0.2.0,conti_at_bound_0.2.0,feuv_fwhm_fixed_0.2.0,continuum_status_0.2.0
9000000247,spec-0886-52381-0288.fits,Liu+2014,True,0.392,A,A,330.156,334.002,3.846,0.431,1,success,--,,,,,,2250.029,feuv_shift,True,success
9000000248,spec-1455-53089-0545.fits,Liu+2014,True,0.428,C,C,854.671,854.662,-0.010,12.862,2,success,--,,,,,,2530.473,"feop_shift,feuv_shift",True,success
9000000248,spec-7416-56810-0611.fits,Liu+2014,False,0.428,C,C,453.550,385.190,-68.360,5.360,2,success,A,A,749.903,750.110,0.207,3.245,3726.799,feop_shift,False,success
9000000249,spec-0847-52426-0105.fits,Liu+2014,True,0.749,B,B,354.965,348.835,-6.130,12.045,2,success,--,,,,,,1200.000,"feop_fwhm,feuv_fwhm",False,success
9000000250,spec-2601-54144-0515.fits,Liu+2014,True,0.720,A,A,-497.127,-518.830,-21.703,2.763,1,success,--,,,,,,1257.040,feuv_fwhm,False,success
9000000251,spec-1994-53845-0381.fits,Liu+2014,True,0.511,A,C,513.686,363.754,-149.931,9.786,2,success,--,,,,,,1218.959,feuv_fwhm,False,success
9000000251,spec-10250-58472-0093.fits,Liu+2014,False,0.511,C,C,466.242,454.095,-12.147,9.288,2,success,C,C,381.546,380.758,-0.788,11.519,1200.000,"feop_fwhm,feuv_fwhm",False,success
9000000255,spec-2603-54479-0443.fits,Liu+2014,True,0.118,C,C,758.494,842.859,84.365,6.762,2,success,C,C,544.594,546.386,1.791,132.148,2246.126,,False,success
9000000256,spec-2006-53476-0628.fits,Liu+2014,True,0.148,C,C,-450.113,-456.633,-6.520,11.096,2,success,C,C,-343.805,-340.574,3.232,145.262,4279.992,,False,success
9000000256,spec-10253-58487-0565.fits,Liu+2014,False,0.148,C,C,-55.591,-71.677,-16.086,6.480,2,success,C,C,-229.545,-230.751,-1.206,125.280,1352.148,,False,success
